"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2021-03-01 06:46:00","2021-03-01 06:46:00","2021-03-01 09:46:00","2021-03-01 09:46:00","2080.5"
"2021-03-01 06:49:00","2021-03-01 06:49:00","2021-03-01 09:49:00","2021-03-01 09:49:00","2076.0"
"2021-03-01 06:52:00","2021-03-01 06:52:00","2021-03-01 09:52:00","2021-03-01 09:52:00","2062.0"
"2021-03-01 06:55:00","2021-03-01 06:55:00","2021-03-01 09:55:00","2021-03-01 09:55:00","2067.0"
"2021-03-01 06:58:00","2021-03-01 06:58:00","2021-03-01 09:58:00","2021-03-01 09:58:00","2067.5"
"2021-03-01 07:01:00","2021-03-01 07:01:00","2021-03-01 10:01:00","2021-03-01 10:01:00","2074.0"
"2021-03-01 07:04:00","2021-03-01 07:04:00","2021-03-01 10:04:00","2021-03-01 10:04:00","2073.5"
"2021-03-01 07:07:00","2021-03-01 07:07:00","2021-03-01 10:07:00","2021-03-01 10:07:00","2061.0"
"2021-03-01 07:10:00","2021-03-01 07:10:00","2021-03-01 10:10:00","2021-03-01 10:10:00","2035.5"
"2021-03-01 07:13:00","2021-03-01 07:13:00","2021-03-01 10:13:00","2021-03-01 10:13:00","2036.0"
"2021-03-01 07:16:00","2021-03-01 07:16:00","2021-03-01 10:16:00","2021-03-01 10:16:00","2034.0"
"2021-03-01 07:19:00","2021-03-01 07:19:00","2021-03-01 10:19:00","2021-03-01 10:19:00","2038.0"
"2021-03-01 07:22:00","2021-03-01 07:22:00","2021-03-01 10:22:00","2021-03-01 10:22:00","2024.5"
"2021-03-01 07:25:00","2021-03-01 07:25:00","2021-03-01 10:25:00","2021-03-01 10:25:00","2017.0"
"2021-03-01 07:28:00","2021-03-01 07:28:00","2021-03-01 10:28:00","2021-03-01 10:28:00","1991.6"
"2021-03-01 07:31:00","2021-03-01 07:31:00","2021-03-01 10:31:00","2021-03-01 10:31:00","1984.0"
"2021-03-01 07:34:00","2021-03-01 07:34:00","2021-03-01 10:34:00","2021-03-01 10:34:00","1997.5"
"2021-03-01 07:37:00","2021-03-01 07:37:00","2021-03-01 10:37:00","2021-03-01 10:37:00","1975.0"
"2021-03-01 07:40:00","2021-03-01 07:40:00","2021-03-01 10:40:00","2021-03-01 10:40:00","1963.0"
"2021-03-01 07:43:00","2021-03-01 07:43:00","2021-03-01 10:43:00","2021-03-01 10:43:00","1952.5"
"2021-03-01 07:46:00","2021-03-01 07:46:00","2021-03-01 10:46:00","2021-03-01 10:46:00","1942.0"
"2021-03-01 07:49:00","2021-03-01 07:49:00","2021-03-01 10:49:00","2021-03-01 10:49:00","1942.9"
"2021-03-01 07:52:00","2021-03-01 07:52:00","2021-03-01 10:52:00","2021-03-01 10:52:00","1946.5"
"2021-03-01 07:55:00","2021-03-01 07:55:00","2021-03-01 10:55:00","2021-03-01 10:55:00","1941.9"
"2021-03-01 07:58:00","2021-03-01 07:58:00","2021-03-01 10:58:00","2021-03-01 10:58:00","1937.5"
"2021-03-01 08:01:00","2021-03-01 08:01:00","2021-03-01 11:01:00","2021-03-01 11:01:00","1942.0"
"2021-03-01 08:04:00","2021-03-01 08:04:00","2021-03-01 11:04:00","2021-03-01 11:04:00","1920.0"
"2021-03-01 08:07:00","2021-03-01 08:07:00","2021-03-01 11:07:00","2021-03-01 11:07:00","1929.0"
"2021-03-01 08:10:00","2021-03-01 08:10:00","2021-03-01 11:10:00","2021-03-01 11:10:00","1925.5"
"2021-03-01 08:13:00","2021-03-01 08:13:00","2021-03-01 11:13:00","2021-03-01 11:13:00","1920.0"
"2021-03-01 08:16:00","2021-03-01 08:16:00","2021-03-01 11:16:00","2021-03-01 11:16:00","1918.5"
"2021-03-01 08:19:00","2021-03-01 08:19:00","2021-03-01 11:19:00","2021-03-01 11:19:00","1921.5"
"2021-03-01 08:22:00","2021-03-01 08:22:00","2021-03-01 11:22:00","2021-03-01 11:22:00","1914.5"
"2021-03-01 08:25:00","2021-03-01 08:25:00","2021-03-01 11:25:00","2021-03-01 11:25:00","1911.0"
